trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-130.6579843256487,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9}",20,0,-35.32312013423539,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.85}",25,0,-180.681482143342,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8}",20,0,30.167200684820695,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.75}",25,3,15.435815527170803,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.7}",25,0,17.57348271979619,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.65}",25,0,-125.8694610561977,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.6}",30,0,-34.19961187620739,"{0: 26, 1: 0, 2: 1, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.55}",20,0,-7.191907381396054,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.5}",20,0,17.350212947749043,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.45}",25,0,-55.46632495742291,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.4}",20,0,16.93093336561946,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.35}",25,0,-13.292870178764506,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.3}",20,0,24.529149544090092,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.25}",20,12,10.10120804606565,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.2}",25,17,10.609298674448512,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.15}",30,0,20.1913561644859,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.1}",35,2,0.8544298643253156,"{0: 31, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.05}",20,0,32.33939187343025,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.0}",35,0,44.66712101811892,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,31.169701669980146,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,0.30546626047341796,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,38.87906423131458,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,8,-5.622603159937011,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,18,11.310820698824948,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,33.37537088754237,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,9.899262361349736,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,10,25.63337497566193,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,7,28.27914933961141,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,4,28.34199864409093,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
