trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9975}",20,0,-99.7354960407047,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.995}",20,0,-82.90292458553604,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.9925}",25,17,2.20905924093926,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.9, 'e': 0.99}",25,0,1.083055592820235,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.9, 'e': 0.9875}",20,0,-17.569271212618844,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.985}",35,17,-98.0148593441003,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 2}",1
7,False,"{'a': 0.9, 'e': 0.9825}",35,7,-19.59514814037316,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 1}",1
8,False,"{'a': 0.9, 'e': 0.98}",20,1,-48.95923965949723,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.9, 'e': 0.9775}",20,0,-35.338617742054836,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.975}",25,19,7.454904301429501,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.9, 'e': 0.9725}",20,0,21.483568529728398,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.97}",25,8,-12.436197101534688,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.9, 'e': 0.9675}",20,0,-21.203558944970368,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.965}",20,0,29.260125636614024,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.9625}",20,6,1.1542598663969998,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.96}",20,12,16.50367805403174,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.9575}",30,10,35.403771569354895,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.955}",25,14,-1.703048510936053,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.9525}",20,5,16.402653206442743,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.9, 'e': 0.95}",25,0,-83.06276364629369,"{0: 20, 1: 0, 2: 1, 3: 3, 4: 1}",0
21,False,"{'a': 0.9, 'e': 0.9475}",20,10,15.868472813937936,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.945}",25,0,36.25676965550915,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.9, 'e': 0.9425}",25,0,8.378221161138924,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.94}",25,0,42.639716347662315,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.9, 'e': 0.9375}",20,8,21.251446743691663,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.9, 'e': 0.935}",25,3,28.38861786961762,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.9325}",25,15,15.06140844964161,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.93}",20,0,37.91989884055832,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.9, 'e': 0.9275}",30,20,20.082836452157057,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.9, 'e': 0.925}",25,10,22.67617765607554,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.9, 'e': 0.9225}",25,0,38.255446085759985,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.9, 'e': 0.92}",25,0,4.614686672754944,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
33,False,"{'a': 0.9, 'e': 0.9175}",20,5,19.60631740825337,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.9, 'e': 0.915}",25,3,34.085677269040524,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.9, 'e': 0.9125}",20,13,12.844164542323465,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.9, 'e': 0.91}",25,10,23.477015247305445,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.9, 'e': 0.9075}",20,0,28.852032018300147,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.9, 'e': 0.905}",25,12,-57.940236390260246,"{0: 9, 1: 0, 2: 1, 3: 3, 4: 0}",1
39,False,"{'a': 0.9, 'e': 0.9025}",25,11,21.26296368015107,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.9, 'e': 0.9}",25,5,17.62647476755148,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.9, 'e': 0.8975}",25,8,22.984695212639522,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.9, 'e': 0.895}",20,13,11.52270951626442,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.8925}",25,17,14.480154101428468,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
