trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.04700844616852,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.3637547524202,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.24930644253062,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-22.908869717699837,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.04368558753234,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.2386620978822,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.54432452725626,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.79211873807272,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.66507951905228,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.94382991181575,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.73557877668459,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.77879553116257,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.1597570881533,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.03027057115008,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.786858737538232,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,4,-185.5335029785204,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 4}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.800136353040436,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.29807416657044,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.92564424656703,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.5740956819017,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-98.07094580274047,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,15,3.4476129325130818,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-205.53669484316424,"{0: 16, 1: 2, 2: 6, 3: 4, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-54.83237453697755,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
