trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.21449575069173,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.87319184100708,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,3,-72.99081548495984,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.55033344355482,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.42357923747853,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.78665283805967,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.98757776923442,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.953627493459834,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.56384711550513,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.2855801804143,"{0: 9, 1: 1, 2: 12, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-239.09443055020125,"{0: 14, 1: 3, 2: 8, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-85.60533122671639,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.0378115037251,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,6,-110.34603605246546,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.2589476118162,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.1231544211439,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-221.9987384016319,"{0: 16, 1: 0, 2: 10, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.42432572830555,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.92798559995805,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.57474486254759,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-161.07771406029536,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-43.446859375073316,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-113.90782914387626,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,18,-38.399634221422325,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-142.91604376329116,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-226.38842711092644,"{0: 14, 1: 0, 2: 4, 3: 4, 4: 3}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-142.43986900763497,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-105.27489547491177,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-173.49706601875198,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-84.50203033429419,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
